N,M,Message,PSNR(dB),Entropy_Original(bits/pixel),Entropy_Compressed(bits/pixel),Blocking_Original,Blocking_Compressed,Blocking_Increase
1,1,"Hallo world!",32.144,7.3459,7.42396,2.21583,3.91323,1.69739
1,1,"This is a new world!",32.1838,7.3459,7.42391,2.21583,3.91332,1.69748
1,3,"Hallo world!",32.1661,7.3459,7.42395,2.21583,3.9134,1.69757
1,3,"This is a new world!",32.1575,7.3459,7.42395,2.21583,3.91332,1.69748
1,5,"Hallo world!",32.1441,7.3459,7.42395,2.21583,3.91339,1.69756
1,5,"This is a new world!",32.1135,7.3459,7.42396,2.21583,3.91342,1.69759
20,1,"Hallo world!",32.0174,7.3459,7.4211,2.21583,3.89566,1.67982
20,1,"This is a new world!",32.0622,7.3459,7.42104,2.21583,3.89551,1.67968
20,3,"Hallo world!",32.0704,7.3459,7.42103,2.21583,3.89313,1.67729
20,3,"This is a new world!",31.9775,7.3459,7.42113,2.21583,3.89686,1.68102
20,5,"Hallo world!",32.0687,7.3459,7.42111,2.21583,3.89321,1.67737
20,5,"This is a new world!",31.9617,7.3459,7.42115,2.21583,3.89711,1.68128
40,1,"Hallo world!",31.2297,7.3459,7.40873,2.21583,3.77111,1.55527
40,1,"This is a new world!",31.1735,7.3459,7.40877,2.21583,3.77499,1.55916
40,3,"Hallo world!",31.2522,7.3459,7.40866,2.21583,3.77579,1.55995
40,3,"This is a new world!",31.3639,7.3459,7.40834,2.21583,3.7649,1.54907
40,5,"Hallo world!",31.153,7.3459,7.40874,2.21583,3.77286,1.55702
40,5,"This is a new world!",31.1257,7.3459,7.40887,2.21583,3.77687,1.56103
